ab,"368, 403, 587, 780, 825",Alberta
bc,"236, 250, 604, 672, 778",British Columbia
mb,"204, 431",Manitoba
nb,"428, 506",New Brunswick
nl,"709, 879",Newfoundland and Labrador
nt,867,Northwest Territories
ns,"782, 902",Nova Scotia
nu,867,Nunavut
on,"226, 249, 289, 343, 365, 416, 437, 519, 548, 613, 647, 705, 742, 807, 905",Ontario
pe,"782, 902",Prince Edward Island
qc,"354, 367, 418, 438, 450, 514, 579, 581, 819, 873",Quebec
sk,"306, 474, 639",Saskatchewan
yt,867,Yukon
Non-Geographic,"600, 622",Non-Geographic
Toll Free Numbers,"800, 833, 844, 855, 866, 877, 888",Toll Free Numbers
